text,label
"After four days of trying,, one of your phone staff finally checked and discovered the item was LOST on Saturday. Now I have to order again.",order_issue
Which might be the reason I did not see the email. I probably did received one however I have lost access to my previous email address,order_issue
I got a refund but I wanna check to see if it's actually lost,order_issue
Still I didn't received any update from your end. I have to book order today,order_issue
There's really no good way to report that an item was missing. It asks if I want to return an item but there is no item to return.,order_issue
"Over 50 orders. More than a hundred books. Not a single free bookmark. I'm heartbroken, Amazon! :(",order_issue
I fail to see how that reassures me that I'm going to get an undamaged record 3rd time around,order_issue
"Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",order_issue
"But we could not have known it was the part until it was diagnosed. I have tried to claim under A-Z Guarantee but they are denying it because I received the part ""as described."" Except it is not as described, it's a piece if garbage that does not work.",order_issue
I thought returning it to an actual amazon store meant that it would eliminate the problem of items getting lost in the mail,order_issue
I never received an alert that my Amazon pay balance was about to expire.,order_issue
not the first time this has happened and we have lost orders. No card has been posted either at our door to say where it is,order_issue
How can you find my order of i didnt ordered it!! My brother ordered it for me and i received a defective one. And you are not listening at all. Provide me a refund!! This is going to be my last tweet if you are not going to solve,order_issue
Since yesterday you guys are telling that you’ll get back instantly. Lost all hopes!,order_issue
There was no way to reply to the email. This is for case 4672816421. We were promised a call back but never received one.,order_issue
Are you going to be offering anything to your Puerto Rican customers for delayed/missing orders in the aftermath? Zero point in having prime,order_issue
Amazon seller support team is not providing pickup service on time to new seller. We are chasing them from 23rd Oct and lost our 4 orders,order_issue
DAMN IPHONE WITH THE BROKEN I,order_issue
"I’m hoping it’s not damaged-it’s a laptop, I won’t find out until Christmas Day as it’s a gift 🎁 how should I go about perhaps you making a note on my account, about possible damage, I have taken photos of the outer box",order_issue
After the mechanic diagnosed one part defective we paid more than $700 in travel and repairs to replace the part we purchased from Amazon.,order_issue
"Already spoken to your customer executive detaily to hemalatha supervisor , no solution provided, purely frustrated.very worst experience",complaint
Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,complaint
He had said that there had been a change of address however I was guaranteed that it would arrive today. I have spent my whole weekend trying to get this sorted and I’ve got delay after delay after delay. I am absolutely ashamed of this service. Nothing has been made up for it,complaint
I’ve requested it’s return but the courier can’t pick it up while I’m here this weekend and my replacement won’t be arriving until Monday so I’d have to say I’m majorly disappointed and won’t be recommending this,complaint
Useless show Amazon... Again no body ce to pick up stuff for return Worst respond to customer..... GUYS PLS STOP BUYING Stuff FROM AMAZON. TO HELL WITH FDI... AND RESTRICT THEIR Working PLS,complaint
Yeah.....don’t think you will be able to replace fingerlings...just warn people not to throw stuff in a huge box all together with no protection. Sill love ya just disappointed!,complaint
"Oh GOD ! again link, fill up and will get the copy-paste emails.. Even I am telling you the FACTS about the possibilities. What you guys doing there ? paying you, for what.. Its mystery. #ShameOnYouAmazon",complaint
not available at my nearby distro center.. Says it comes today. Kinda horrible delivery times.,complaint
As compensation you are giving me 500 InR in account.. shame &amp; unethical...,complaint
so the social media escalation team is equally useless as the customer service team...hats off to incompetence,complaint
"It was ripped open, have checked that everything is in there. Still doesn’t excuse the fact it’s been opened and rummaged around in AND then your really rude customer service assistants on chat telling me I’m making stuff up...",complaint
Already shared the same with your support team . Always asks me to wait. #rude #stories,complaint
Got it. Worst services too,complaint
Tried ringing and the guy who answered couldn’t speak English and kept saying the same this over again. Useless customer service.,complaint
"I’ve sent an email, I would like someone from management to call me tomorrow at noon. I am far too angry at the moment to talk to you.",complaint
A claim and escalated. Then the same bs email about how more info is needed and the seller hasn’t received the item. Horrible customer serv.,complaint
Then what do I do now ?? You guys have frustrated me..,complaint
still no action. Disappointed,complaint
Yes I arranged a time. No phone call. Email was sent by Account Specialist. And the best part you taken the money for the order........ I’m really disappointed,complaint
It’s a complete disgrace called put on hold for all in all for nearly 30 mins and been told that there is only one supervisor and have to wait 2 hours for a call back asked if there was a supervisor in another contact centre and told she can’t do that! Not happy at all,complaint
I’ve waited til past 8 o’clock now-here are the references: 67303131113645 &amp; 73303231558729 EVERY Hermes delivery gets delayed. No fun!,order_status
They shipped yesterday (Wednesday) and won’t be here until Monday. I think our ideas of two day shipping is a bit different.,order_status
