customer_text,brand_text,conversation_id
"After four days of trying,, one of your phone staff finally checked and discovered the item was LOST on Saturday. Now I have to order again.",You can request a call back here ^KM,conv_18791
A claim and escalated. Then the same bs email about how more info is needed and the seller hasn’t received the item. Horrible customer serv.,Oh no! It sounds like you may qualify for our A-to-z Guarantee Claim. You can read more on this here: 1/2,conv_46743
It was scheduled yesterday but got updated this morning.,"I am sorry to hear about this, Fatima. What day was your order scheduled to be delivered? Has the tracking on your order been updated?^SM",conv_58420
I have already filled in your form 2 hours back and i am yet awaiting your call,"We'd like to help you out. However, being on social media, we'll not be able to access your account from here. Kindly fill in your details from the link provided earlier and we'll reach out to you with an update.^AR",conv_60652
Already have and the assistance I received was absolutely useless and rude.,"We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: ^BL",conv_1147
Nope! Anyone had access to that delivery,Oh no! Do you have a Safe Place set for Unattended Deliveries? You can read more about this here: Let us know if we can be of further help! ^MT,conv_70556
Are you still appreciating my patience as it’s about to run out. I haven’t received any sort of communication so far. It was supposed to be a friend’s birthday gift which you’ve effectively ruined.,"We have received your details, we will get back to you at the earliest. Appreciate your patience and understanding. ^AH",conv_57290
Give me your mail id where i can forward mail regarding this query..... My email id.... __email__ and contact me on 9879103664. And please dont provide me below id its not working....,We don't intend to keep you waiting. Our team shall reach out to you at the earliest to make things right. ^CB,conv_65634
Can you please update the status? When i will be getting my money back?,"We're sorry to know you haven't received your order yet. Allow us to check this and assist, please reach out to us, here: Please don’t provide your details as we consider them to be personal info. Our Twitter page is visible to public. ^YP",conv_58508
"Continued buffering, loss of sound and it doesn't save where I leave off in programming.","What kind of problems are you having with your Fire Stick, Mildred? ^VB",conv_7563
You should have enough info to figure it out. Figure it out and email me,"My apologies for the frustrating and disappointing experience you've had, but we'd like to help if we can. Please provide your details here, with all pertinent information, and we'll be in touch: ^KN",conv_80097
So this order 407-7402036-7182732 Placed on 30th and supposed to reach me on 2nd November Now is this as per amazon prime delivery std ??,Orders placed with us are basically shipped and delivered as per the estimates shared. Kindly let us know if there was a miss. ^AB,conv_14097
"Your customer team is so corrupt and mannerless, If customer want solution on there end they simply cut the call, I want proper solution #UNINSTALLAMAZON",We've received you details and our team will get back to you with an update shortly. ^MN,conv_61549
No option to package in an amazon box or plain packaging so might be worth checking the listing as this wasn’t stated,"Some items will ship in manufacturer's packaging which may reveal the contents. You should see this information on the product page. If available, you can choose to Ship in Amazon box during checkout: Let us know if you have further concerns! ^TG",conv_69090
Yes. Apparently it was signed for when no one was in and there’s a squiggle of a signature which isn’t mine. I asked for a call from amazon where the woman hung up on me and now I’m being told by a customer service chat that I might not get my parcel!,I'm sorry to hear about this experience! This is not the level of service we strive for. Was the parcel supposed to be delivered today? ^TR,conv_87854
I shall expose you through newspaper and other media and will fight till I get proper justice,be able to provide any further insight on this. 2/2 ^SH,conv_16161
Till date no any resolution for my query.....it was my last mistake to made transaction through your wallet.....it would be never happen again.shame of your organisation that you can't clear a query in this huge time. #beware from #Amazonpay #amazon india #worst #service,"Sorry about the unpleasant experience, Irfan. We'd like to take a closer look at this and help you. Kindly share your details here: and we'll get back to you soon with an appropriate resolution. ^SY",conv_65636
Had notification of 3rd item being refunded. Nothing for remaining 2 items,"When you spoke with our support team, what options were we able to explore with you? ^WM",conv_23090
Horrible response form your team still unable to solve the Issue....can someone call me on +91 9096377143...,Sorry about the issue with EMI. Please report this to our support team here: &amp; we'll help you. ^BS,conv_23122
And this is your TR customer service 2:,We received your message. We will get back to you by tomorrow. ^BL,conv_80084
"so far, I only keep getting hollow assurances that I will not face this issue again. Don't need assurances, need the product i ordered!","If you've replied to the email sent by us, we'll check and get back to you with an update shortly. ^NR",conv_9420
I received nothing in spam and there was no message from the operator. However I received your message at 1am - 8hrs after my enquiry. I don’t understand why your operator couldn’t do this for me. Many thanks for your assistance,"I'm terribly sorry for the misinformation! ""Pass my Parcel"" is one of our main return some information about the ""Pass my Parcel"" process: If you're unable to access one of these locations, please let us know.^WT",conv_69863
アカウント凍結して不正アクセスを調べてもらうことになりました。 ありがとうございました。,アマゾンです。重ねてのご案内となりますが、カスタマーサービスにて状況を確認させていただきます。こちらからお問い合わせください。 サインインが出来ない場合は、フリーダイヤル：0120-999-373へ直接ご連絡ください。ET,conv_3554
Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,I'd like to help. Please write to us here: and I'll reach out to you. ^SA,conv_11395
Pic 2) Song,Here's a link to our page about music commands. Do you have Spotify Premium? Looks like it's required. ^EM,conv_20898
Era il 29 per l'ultimo ordine,"Ciao Michele, hai riscontrato un ritardo con la consegna di un ordine spedito tramite Amazon Logistics? Qual è la data di consegna prevista, indicata al momento dell'ordine? ^MZ",conv_58334
"I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: ^KP,conv_1116
"Hi there, still no response from anyone!",Hello Julianne - I'm sorry to hear the seller hasn't responded. Please reach out to us by phone or chat so we can look into our options together in real-time: ^GR,conv_56120
"And who wrote the copy in this email that notifies customers their items are late? ""Please come back (three days from now) and if you don't have it we'll help you out"" reads very flippant to a disappointed customer.","So sorry to hear about the issues! Our team would like to look into this situation with you further, can you please provide your details here so that we can reach out? ^GS",conv_61459
Merci. Non pas pour la livraison mais pour la réactivité du SAV.,"Entendu, notre SAV est joignable via Passez une bonne soirée ^KD",conv_87900
"Je n'ai pas eu le temps de le faire, donc je le ferais demain","J'en suis navrée, avez-vous fait la demande de retour depuis votre compte ? ^KE",conv_59531
