id,message,heuristic_intent,human_intent,heuristic_action,human_action,annotation_notes,source_conversation
1,"After four days of trying,, one of your phone staff finally checked and discovered the item was LOST on Saturday. Now I have to order again.",order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_18791
2,Which might be the reason I did not see the email. I probably did received one however I have lost access to my previous email address,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_54600
3,I got a refund but I wanna check to see if it's actually lost,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_3844
4,Still I didn't received any update from your end. I have to book order today,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_13098
5,"There's really no good way to report that an item was missing. It asks if I want to return an item but there is no item to return.",order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_70579
6,"Over 50 orders. More than a hundred books. Not a single free bookmark. I'm heartbroken, Amazon! :(",order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_39599
7,I fail to see how that reassures me that I'm going to get an undamaged record 3rd time around,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_46196
8,"Not in the mailbox, not on the porch, not in my house, not at the neighbors. This was a Prime order, late/lost again.",order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_7992
9,"But we could not have known it was the part until it was diagnosed. I have tried to claim under A-Z Guarantee but they are denying it because I received the part ""as described."" Except it is not as described, it's a piece if garbage that does not work.",order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_82227
10,I thought returning it to an actual amazon store meant that it would eliminate the problem of items getting lost in the mail,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_36671
11,I never received an alert that my Amazon pay balance was about to expire.,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_20079
12,not the first time this has happened and we have lost orders. No card has been posted either at our door to say where it is,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_86190
13,How can you find my order of i didnt ordered it!! My brother ordered it for me and i received a defective one. And you are not listening at all. Provide me a refund!! This is going to be my last tweet if you are not going to solve,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_70663
14,Since yesterday you guys are telling that you'll get back instantly. Lost all hopes!,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_56152
15,There was no way to reply to the email. This is for case 4672816421. We were promised a call back but never received one.,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_93198
16,Are you going to be offering anything to your Puerto Rican customers for delayed/missing orders in the aftermath? Zero point in having prime,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_21646
17,Amazon seller support team is not providing pickup service on time to new seller. We are chasing them from 23rd Oct and lost our 4 orders,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_16186
18,DAMN IPHONE WITH THE BROKEN I,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_50499
19,"I'm hoping it's not damaged-it's a laptop, I won't find out until Christmas Day as it's a gift 🎁 how should I go about perhaps you making a note on my account, about possible damage, I have taken photos of the outer box",order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_79789
20,After the mechanic diagnosed one part defective we paid more than $700 in travel and repairs to replace the part we purchased from Amazon.,order_issue,,ESCALATE,,"Heuristically labeled - please verify",conv_82229
21,"Already spoken to your customer executive detaily to hemalatha supervisor , no solution provided, purely frustrated.very worst experience",complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_60504
22,Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_11395
23,He had said that there had been a change of address however I was guaranteed that it would arrive today. I have spent my whole weekend trying to get this sorted and I've got delay after delay after delay. I am absolutely ashamed of this service. Nothing has been made up for it,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_92568
24,I've requested it's return but the courier can't pick it up while I'm here this weekend and my replacement won't be arriving until Monday so I'd have to say I'm majorly disappointed and won't be recommending this,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_92561
25,Useless show Amazon... Again no body ce to pick up stuff for return Worst respond to customer..... GUYS PLS STOP BUYING Stuff FROM AMAZON. TO HELL WITH FDI... AND RESTRICT THEIR Working PLS,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_76606
26,Yeah.....don't think you will be able to replace fingerlings...just warn people not to throw stuff in a huge box all together with no protection. Sill love ya just disappointed!,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_83853
27,"Oh GOD ! again link, fill up and will get the copy-paste emails.. Even I am telling you the FACTS about the possibilities. What you guys doing there ? paying you, for what.. Its mystery. #ShameOnYouAmazon",complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_61722
28,not available at my nearby distro center.. Says it comes today. Kinda horrible delivery times.,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_28514
29,As compensation you are giving me 500 InR in account.. shame &amp; unethical...,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_12758
30,so the social media escalation team is equally useless as the customer service team...hats off to incompetence,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_11421
31,"It was ripped open, have checked that everything is in there. Still doesn't excuse the fact it's been opened and rummaged around in AND then your really rude customer service assistants on chat telling me I'm making stuff up...",complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_63974
32,Already shared the same with your support team . Always asks me to wait. #rude #stories,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_39664
33,Got it. Worst services too,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_20913
34,Tried ringing and the guy who answered couldn't speak English and kept saying the same this over again. Useless customer service.,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_80220
35,"I've sent an email, I would like someone from management to call me tomorrow at noon. I am far too angry at the moment to talk to you.",complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_47338
36,A claim and escalated. Then the same bs email about how more info is needed and the seller hasn’t received the item. Horrible customer serv.,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_46743
37,Then what do I do now ?? You guys have frustrated me..,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_14626
38,still no action. Disappointed,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_33481
39,Yes I arranged a time. No phone call. Email was sent by Account Specialist. And the best part you taken the money for the order........ I'm really disappointed,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_65744
40,It's a complete disgrace called put on hold for all in all for nearly 30 mins and been told that there is only one supervisor and have to wait 2 hours for a call back asked if there was a supervisor in another contact centre and told she can't do that! Not happy at all,complaint,,ESCALATE,,"Heuristically labeled - please verify",conv_62671
41,I've waited til past 8 o'clock now-here are the references: 67303131113645 &amp; 73303231558729 EVERY Hermes delivery gets delayed. No fun!,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_40970
42,They shipped yesterday (Wednesday) and won't be here until Monday. I think our ideas of two day shipping is a bit different.,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_79050
43,"I can spend my time with this because you haven't kept to your delivery, or I can just change to buying more from eBay; I'm going to choose the latter",order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_86205
44,It did not say on the tracking who was carrying it. I did get contacted from Amazon and now they promised first thing in the morning.,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_28005
45,"I am not going to do anything more. If package not recd by nov 8,2017 then I will revert",order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_13918
46,Your website says if in stock it'll be dispatched that same day and delivered the next day. Nothing about just transit time. You're making it up.,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_88002
47,YES paid an extra $10 for delivery today. Assuming that will be refunded.,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_19472
48,it wouldn't bother me as much if we lived in the middle of nowhere but considering we are only 35 minutes away from the dispatch centre and the item was supposedly out for delivery at 10.30am yesterday morning. I think it might be a great idea to use Sat Navs,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_89383
49,This is not going to help! I understand how you people work. Your delivery team don't deliver and they say that customer not available! Lier,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_26311
50,"It was Amazon UK, with delivery for Republic of Ireland",order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_81955
51,It says it has been out for delivery since 8:14am today,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_53470
52,"It just says ""delayed due to external factors"" both of the times it has been out for delivery",order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_86223
53,no it just says it will be delivered today,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_48023
54,"Yes, reported every one of the above. Multiple times &amp;requested a reason for 'failed to deliver'. Had 2 products re-ordered twice, but most just get a 'refund' notice- no further action, usually a week or two later after being PROMISED it will be delivered 24-48 hours later...",order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_70565
55,Done long time back. Almost a month back. No status change,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_61708
56,It says due for delivery by 11pm tomorrow but not dispatched yet. I've had to also order from elsewhere as I'm not confident from recent experience that Prime delivery time will be met.,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_53325
57,"""In Transit: Delivery attempted"" IntelCom's site &amp; tracking ID not working &amp; I've already been on hold 20min today and longer yesterday.",order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_67278
58,And the ritual continues. Once again a call now asking for pick up while pick up slot is 1-4.Iam sure the pick up will be rescheduled again,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_23989
59,Was delivered by Amazon Logistics! Don't have time to inspect it thoroughly now. Box clearly shows it's a telescope and has a 'This way up' label in it. Mad beyond belief about this!,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_72357
60,But paying for prime is about next day delivery surely? Checkout is also saying 2nd.,order_status,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_55914
61Salve purtroppo nessuno sa niente! Non so veramente come fare...,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_58444
62,no me dieron mi numero guia porque me pidieron una info de la direccion de facturacion y no me han dado respuesta de eso.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_95299
63,Thats why you're not leading.. bcoz you not paying for your fault.. you just leaving customers at their end &amp; be yourself remain in comfort zone.. My Pay Balance amount transfer in my bank account. You are earning i terest on my money so far.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_61725
64,I contacted customer support by chat&amp;was told to wait for 72 hrs while investigating.:/ This has happened to others for over a week though,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_14408
65,Are you guys nuts? How can u ask me to wait... bloddy idiots from past three days I am waiting...what r u guys? Stupid assholes? U don't have integrity,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_16612
66,They're stupid USB C cables worth less than $10 and I don't need them right away. The point is the type of stuff is happening more and more to my deliveries. I can't justify renewing Prime as long as this continues.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_59577
67,"yeah its on that episode of cheers but I tried another episode and it didn't appear to be there, maybe it's just that episode?",general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_55590
68,Many times..Always got them saying well deliver it by deadline...I hate your service now,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_8347
69,"Creo que es un vendedor externo, ErgodeBooks. Los pedí el 23 de octubre y el pedido llegaba entre 2-5 semana.",general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_94481
70,Sounds like an elaborate excuse for incompetency to me.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_46715
71,"Siii😍😍uno dei primi di Babbo Natale,che ne ha già scovati altri ...domani si saccheggia! Grazie ancora",general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_91293
72,I wuld lyk 2 knw jus 1 simpl&amp; straight answer. Hw mny times u ppl wl ask d same qstn again&amp;again.Coz m juss sick of answring over&amp;over again,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_15091
73,I did.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_46739
74,Already did that and they keep telling me to wait and that has been 4wks. CS keeps telling me it is due to a system error. What error?,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_69082
75,,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_70587
76,Já comprei,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_98756
77,Too late. It's smashed to bits and in the bin. Ta for replying,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_72237
78,i know but i call all courier serviece they people cant home pick up so please arrange from your hand.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_14790
79,I did for the first chat with Ashish and left positive feedback. 👍🏻 Chat with Shruti did not give me the feedback option.,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_79059
80,I've already done that once last week &amp; still not heard back,general_inquiry,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_53728
81,Yeah it happens with you! Stuff that is marked amazon prime and says I'll get it in two days and then at 8pm on the second day changes ETA.,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_19497
82,"He wasn't able to contact . Twice. I tried by myself. A voicemail said that if I've not received today by 1pm (which happens to be the case), I should tomorrow.",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_67226
83,"What email? Which resolution? You mean looking into it and ""investigating"" is the resolution you are talking about?",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_99955
84,"Oui il s'agit du colis prévu mardi. Le problème est que je ne peux pas changer le créneau et je ne vois pas pourquoi je devrais en plus perdre une heure a aller le récupérer au entre chronopost de Strasbourg",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_64103
85,I've contacted my bank as you asked to do so in email but my bank said Amazon need to raise complain,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_16587
86,"Yes, I just did. Not helping. Provide an email ID I can write to.",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_19257
87,"No, but I emailed to offer a copy of my rights reversion letter and ""in review"" just changed to ""publishing"" on my KDP page. Appears ok.",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_20029
88,"Aucune idée, je n'ai pas mon pc à disposition pour vérifier, j'ai préféré demander un échange via le site et retourner l'article.",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_80062
89,9990776470 __email__,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_22566
90,How can I reach out to you guys via phone or chat?,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_41581
91,The other one has actually just changed to being in stock but it hasn't been on Prime for 2 days as I was trying to get it.,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_17440
92,"Already contacted customer care but they said they doesn't know anything It's 2017 update urself guys, still cheques",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_22519
93,Got text from service. It'd been 2 days have not received any update from Amazon service boy.,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_53433
94,"Oh my word, can you not treat people as humans?!?! I've had the 6th identical automated email following a telephone conversation and still no-one has answered a single question?! It beggars belief? Just don't know where to turn now. Utterly disgusted now 😡",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_53738
95,Hi! Any updates?,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_59474
96,Are pre release codes being emailed ?,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_26803
97,Why did it change? That page only tells me it will be 3-5 days.,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_45646
98,yes it was due today by 8pm and now its changed to tomorrow or the next couple days... but isn;t there a guarantee?,account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_7549
99,"It say's ""Could not set your address. Please ensure you have correctly entered a complete address"" when I am entering my India address",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_46156
100,"I reply two time this email , As usual there is no response #UNINSTALLAMAZON",account_issue,,AUTO_HANDLE,,"Heuristically labeled - please verify",conv_61564
101,"I already did that. It says one day and when I bought it with 1 day, it gave it 12/4. If I look at the item now, it says 2days gets it to me 12/2?! - I work in logistics. I understand shipping and this is frustrating. May cancel my order.",refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_80193
102,Just now! I gave you the benefit of the doubt but I have now cancelled the order.,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_20875
103,No. I had to go to amazon's site again and re-process a return. I've had to call almost every day for 2 weeks. I can recommend a training company if you need?,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_77513
104,"não funciona! já tentei cancelar e não consigo. a página diz que cancelou, mas a compra continua lá!!!!",refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_91405
105,Well I won't be buying anything else from Amazon - it's going to cost me £8 to return goods worth £16. Disgusting!!!!,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_52063
106,am i able to return a product which is faulty which i only discovered by using it?,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_97420
107,Amazon is refunding his money in 7-10 business days. Thing is this was his birthday gift and had a new game to play Friday.,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_14374
108,All been sorted. Thank you. My refund should be with me in the next few days😊,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_54685
109,No one knows what to do to get my refund back to me!,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_12647
110,Button popped up today for a refund. I requested it. Thanks for the quick replies,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_62809
111,Thanks! I need to use the item tomorrow so I can't really return the rest of it. Is there any way to get a partial refund?,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_35757
112,U kindly refund the amount back .. I have sent back the product and I demand a refund for the same .never had such dissaponments wit amazon,refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_14389
113,even when i screwed up and forgot to cancel before my cc was charged for an additional year? (effective date was monday),refund_request,,ESCALATE,,"Heuristically labeled - please verify",conv_49319
