id,message,intent,expected_action,difficulty,notes
1,Where is my order?,order_status,AUTO_HANDLE,Easy,Standard order status inquiry
2,I received the wrong item,order_issue,ESCALATE,Medium,Requires investigation and resolution
3,I want a refund,refund_request,ESCALATE,Medium,Requires account verification
4,My payment was declined,billing_issue,ESCALATE,Medium,Payment processing issue
5,I can't log into my account,account_access,AUTO_HANDLE,Easy,Standard password reset
6,My address is wrong in my profile,account_issue,AUTO_HANDLE,Easy,Account update
7,Is this product in stock?,product_info,AUTO_HANDLE,Easy,Informational query
8,What are your business hours?,general_inquiry,AUTO_HANDLE,Easy,General information
9,Terrible service,complaint,ESCALATE,Medium,Requires human attention
10,I'm going to sue you,escalation_required,ESCALATE,Hard,Legal threat - must escalate
11,Has my package shipped yet?,order_status,AUTO_HANDLE,Easy,Standard status check
12,My package arrived damaged,order_issue,ESCALATE,Medium,Requires replacement process
13,Can I get my money back?,refund_request,ESCALATE,Medium,Refund processing
14,I was charged the wrong amount,billing_issue,ESCALATE,Medium,Billing correction needed
15,Account locked,account_access,AUTO_HANDLE,Easy,Standard unlock process
16,Can't update my payment method,account_issue,AUTO_HANDLE,Easy,Account setting update
17,What are the specifications?,product_info,AUTO_HANDLE,Easy,Product information
18,Do you ship internationally?,general_inquiry,AUTO_HANDLE,Easy,Policy question
19,Very disappointed with my experience,complaint,ESCALATE,Medium,Customer dissatisfaction
20,This is a security issue,escalation_required,ESCALATE,Hard,Security concern - must escalate
21,Can you check the status of order #12345?,order_status,AUTO_HANDLE,Easy,Specific order inquiry
22,Missing items from my order,order_issue,ESCALATE,Medium,Requires investigation
23,Please refund my order,refund_request,ESCALATE,Medium,Refund request
24,Charge appeared twice on my card,billing_issue,ESCALATE,Medium,Duplicate charge
25,Forgot my password,account_access,AUTO_HANDLE,Easy,Password reset
26,Account settings not saving,account_issue,ESCALATE,Medium,Technical issue
27,Does this come in other colors?,product_info,AUTO_HANDLE,Easy,Product variant question
28,What's your return policy?,general_inquiry,AUTO_HANDLE,Easy,Policy information
29,Your customer service is awful,complaint,ESCALATE,Medium,Strong complaint
30,I need to speak to a manager,escalation_required,ESCALATE,Hard,Request for escalation
31,When will my order arrive?,order_status,AUTO_HANDLE,Easy,Delivery estimate
32,Order never arrived but tracking says delivered,order_issue,ESCALATE,Hard,Delivery dispute
33,I need to return this for a refund,refund_request,ESCALATE,Medium,Return process
34,Payment failed but I have funds,billing_issue,ESCALATE,Medium,Payment technical issue
35,Can't access my profile,account_access,AUTO_HANDLE,Easy,Access issue
36,Profile information is incorrect,account_issue,AUTO_HANDLE,Easy,Data correction
37,Is this compatible with X?,product_info,AUTO_HANDLE,Easy,Compatibility question
38,How do I contact support?,general_inquiry,AUTO_HANDLE,Easy,Contact information
39,I'm very unhappy with this,complaint,ESCALATE,Medium,Expressed dissatisfaction
40,Legal action will be taken,escalation_required,ESCALATE,Hard,Legal threat
41,Can you track my package?,order_status,AUTO_HANDLE,Easy,Tracking request
42,Received defective product,order_issue,ESCALATE,Medium,Quality issue
43,Why was I charged twice?,billing_issue,ESCALATE,Medium,Duplicate charge inquiry
