customer_tweet_id,customer_text,brand_tweet_id,brand_text,conversation_id
tweet_1501_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_1501,Is this product in stock?,conv_750
tweet_2586_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_2586,I can't log into my account,conv_1293
tweet_2653_resp,I apologize for the delay. Let me check the status for you.,tweet_2653,Where is my order?,conv_1326
tweet_1055_resp,This product is currently in stock and available for shipping.,tweet_1055,I was charged twice,conv_527
tweet_705_resp,"Our business hours are 9 AM to 5 PM EST, Monday through Friday.",tweet_705,Is this product in stock?,conv_352
tweet_106_resp,Your order is expected to arrive in 2-3 business days.,tweet_106,I need a refund,conv_53
tweet_589_resp,I can process your refund. Please confirm the order details.,tweet_589,How do I change my password?,conv_294
tweet_2468_resp,Your order is expected to arrive in 2-3 business days.,tweet_2468,How do I change my password?,conv_1234
tweet_2413_resp,This product is currently in stock and available for shipping.,tweet_2413,The delivery is late,conv_1206
tweet_1600_resp,I'll help you track your order. Please provide your order number.,tweet_1600,I can't log into my account,conv_800
tweet_2464_resp,I can process your refund. Please confirm the order details.,tweet_2464,How do I change my password?,conv_1232
tweet_228_resp,I'll help you track your order. Please provide your order number.,tweet_228,My package is damaged,conv_114
tweet_915_resp,Let me help you reset your password. Please click the link I'll send.,tweet_915,I need a refund,conv_457
tweet_794_resp,Your order is expected to arrive in 2-3 business days.,tweet_794,What are your business hours?,conv_397
tweet_3021_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_3021,When will my order arrive?,conv_1510
tweet_3543_resp,You can change your password in your account settings.,tweet_3543,I received the wrong item,conv_1771
tweet_1073_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_1073,Is this product in stock?,conv_536
tweet_3351_resp,Your order is expected to arrive in 2-3 business days.,tweet_3351,I received the wrong item,conv_1675
tweet_1744_resp,I'll help you track your order. Please provide your order number.,tweet_1744,I need a refund,conv_872
tweet_1084_resp,I can process your refund. Please confirm the order details.,tweet_1084,What are your business hours?,conv_542
tweet_926_resp,I'll investigate the duplicate charge and issue a refund.,tweet_926,I was charged twice,conv_463
tweet_3049_resp,I'll help you track your order. Please provide your order number.,tweet_3049,My package is damaged,conv_1524
tweet_1117_resp,I'll help you track your order. Please provide your order number.,tweet_1117,Is this product in stock?,conv_558
tweet_642_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_642,What are your business hours?,conv_321
tweet_4767_resp,I'll investigate the duplicate charge and issue a refund.,tweet_4767,What are your business hours?,conv_2383
tweet_501_resp,Let me help you reset your password. Please click the link I'll send.,tweet_501,I need a refund,conv_250
tweet_4066_resp,You can change your password in your account settings.,tweet_4066,I need a refund,conv_2033
tweet_333_resp,You can change your password in your account settings.,tweet_333,When will my order arrive?,conv_166
tweet_4684_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_4684,The delivery is late,conv_2342
tweet_486_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_486,How do I change my password?,conv_243
tweet_1962_resp,I apologize for the delay. Let me check the status for you.,tweet_1962,I was charged twice,conv_981
tweet_393_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_393,Where is my order?,conv_196
tweet_4842_resp,Let me help you reset your password. Please click the link I'll send.,tweet_4842,I can't log into my account,conv_2421
tweet_4866_resp,Your order is expected to arrive in 2-3 business days.,tweet_4866,When will my order arrive?,conv_2433
tweet_1755_resp,Your order is expected to arrive in 2-3 business days.,tweet_1755,I received the wrong item,conv_877
tweet_2515_resp,You can change your password in your account settings.,tweet_2515,How do I change my password?,conv_1257
tweet_3585_resp,"Our business hours are 9 AM to 5 PM EST, Monday through Friday.",tweet_3585,What are your business hours?,conv_1792
tweet_4315_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_4315,I need a refund,conv_2157
tweet_4966_resp,Your order is expected to arrive in 2-3 business days.,tweet_4966,I want to cancel my order,conv_2483
tweet_2099_resp,"Our business hours are 9 AM to 5 PM EST, Monday through Friday.",tweet_2099,I want to cancel my order,conv_1049
tweet_3599_resp,I can cancel your order. Please confirm you want to proceed.,tweet_3599,My package is damaged,conv_1799
tweet_4121_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_4121,How do I change my password?,conv_2060
tweet_29_resp,I apologize for the delay. Let me check the status for you.,tweet_29,Is this product in stock?,conv_14
tweet_65_resp,Let me help you reset your password. Please click the link I'll send.,tweet_65,I received the wrong item,conv_32
tweet_838_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_838,I need a refund,conv_419
tweet_3906_resp,I apologize for the delay. Let me check the status for you.,tweet_3906,I can't log into my account,conv_1953
tweet_3773_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_3773,I can't log into my account,conv_1886
tweet_4635_resp,"Our business hours are 9 AM to 5 PM EST, Monday through Friday.",tweet_4635,Where is my order?,conv_2317
tweet_3161_resp,Let me help you reset your password. Please click the link I'll send.,tweet_3161,How do I change my password?,conv_1580
tweet_2659_resp,Your order is expected to arrive in 2-3 business days.,tweet_2659,The delivery is late,conv_1329
tweet_4615_resp,You can change your password in your account settings.,tweet_4615,What are your business hours?,conv_2307
tweet_4628_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_4628,I need a refund,conv_2314
tweet_2451_resp,I'll help you track your order. Please provide your order number.,tweet_2451,The delivery is late,conv_1225
tweet_2846_resp,I can cancel your order. Please confirm you want to proceed.,tweet_2846,What are your business hours?,conv_1423
tweet_1144_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_1144,I can't log into my account,conv_572
tweet_3078_resp,I'll investigate the duplicate charge and issue a refund.,tweet_3078,I can't log into my account,conv_1539
tweet_1103_resp,I apologize for the delay. Let me check the status for you.,tweet_1103,Where is my order?,conv_551
tweet_168_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_168,Is this product in stock?,conv_84
tweet_1670_resp,You can change your password in your account settings.,tweet_1670,Where is my order?,conv_835
tweet_2570_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_2570,Where is my order?,conv_1285
tweet_2377_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_2377,How do I change my password?,conv_1188
tweet_4395_resp,I apologize for the delay. Let me check the status for you.,tweet_4395,Is this product in stock?,conv_2197
tweet_4257_resp,I apologize for the mistake. Let me arrange a replacement for you.,tweet_4257,I want to cancel my order,conv_2128
tweet_3862_resp,I can cancel your order. Please confirm you want to proceed.,tweet_3862,I need a refund,conv_1931
tweet_23_resp,I'll investigate the duplicate charge and issue a refund.,tweet_23,My package is damaged,conv_11
tweet_2633_resp,This product is currently in stock and available for shipping.,tweet_2633,Is this product in stock?,conv_1316
tweet_3340_resp,I apologize for the delay. Let me check the status for you.,tweet_3340,What are your business hours?,conv_1670
tweet_2215_resp,I can process your refund. Please confirm the order details.,tweet_2215,I can't log into my account,conv_1107
tweet_3682_resp,I can cancel your order. Please confirm you want to proceed.,tweet_3682,I can't log into my account,conv_1841
tweet_4724_resp,I can cancel your order. Please confirm you want to proceed.,tweet_4724,I want to cancel my order,conv_2362
tweet_1907_resp,I apologize for the delay. Let me check the status for you.,tweet_1907,I need a refund,conv_953
tweet_84_resp,I can process your refund. Please confirm the order details.,tweet_84,Is this product in stock?,conv_42
tweet_227_resp,This product is currently in stock and available for shipping.,tweet_227,I want to cancel my order,conv_113
tweet_296_resp,Your order is expected to arrive in 2-3 business days.,tweet_296,I need a refund,conv_148
tweet_1001_resp,I can cancel your order. Please confirm you want to proceed.,tweet_1001,I was charged twice,conv_500
tweet_2138_resp,"Our business hours are 9 AM to 5 PM EST, Monday through Friday.",tweet_2138,I received the wrong item,conv_1069
tweet_711_resp,I'm sorry to hear that. I'll arrange a replacement shipment.,tweet_711,I was charged twice,conv_355
tweet_2801_resp,I can process your refund. Please confirm the order details.,tweet_2801,Where is my order?,conv_1400
tweet_2527_resp,I'll investigate the duplicate charge and issue a refund.,tweet_2527,I can't log into my account,conv_1263
tweet_3752_resp,I'll help you track your order. Please provide your order number.,tweet_3752,When will my order arrive?,conv_1876
tweet_3321_resp,I'll help you track your order. Please provide your order number.,tweet_3321,The delivery is late,conv_1660
tweet_3181_resp,I'll investigate the duplicate charge and issue a refund.,tweet_3181,I received the wrong item,conv_1590
tweet_4183_resp,This product is currently in stock and available for shipping.,tweet_4183,I received the wrong item,conv_2091
tweet_1615_resp,I'll investigate the duplicate charge and issue a refund.,tweet_1615,I can't log into my account,conv_807
tweet_3024_resp,Your order is expected to arrive in 2-3 business days.,tweet_3024,Is this product in stock?,conv_1512
tweet_1413_resp,You can change your password in your account settings.,tweet_1413,My package is damaged,conv_706
